assay_id	extraction_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_target	assay_target_category	assay_target_genetic_locus	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_calculated_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A0020.a1	A0020.e1	MA2		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12727	0	0	3996
A0020.a2	A0020.e1	MA2		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12727	0	0	
A0020.a3	A0020.e1	MA2		5	Human	Internal Control	RNase P	RNA	HEX	12727	0	0	35942.4
A0021.a1	A0021.e1	MA2		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14612	0	0	19320
A0021.a2	A0021.e1	MA2		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14612	0	0	19320
A0021.a3	A0021.e1	MA2		5	Human	Internal Control	RNase P	RNA	HEX	14612	0	0	88968
A0022.a1	A0022.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12254	0	0	49795.2
A0022.a2	A0022.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12254	0	0	49795.2
A0022.a3	A0022.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12254	0	0	27648
A0023.a1	A0023.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12579	0	0	49394.4
A0023.a2	A0023.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12579	0	0	29647.2
A0023.a3	A0023.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12579	0	0	24684
A0024.a1	A0024.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13430	0	0	23962.8
A0024.a2	A0024.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13430	0	0	7980
A0024.a3	A0024.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	13430	0	0	39968.4
A0025.a1	A0025.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12472	0	0	103305.6
A0025.a2	A0025.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12472	0	0	70675.2
A0025.a3	A0025.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12472	0	0	27158.4
A0027.a1	A0027.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10133	0	0	15891.6
A0027.a2	A0027.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10133	0	0	15891.6
A0027.a3	A0027.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10133	0	0	42362.4
A0028.a1	A0028.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10501	0	0	9676.8
A0028.a2	A0028.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10501	0	0	9676.8
A0028.a3	A0028.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10501	0	0	9676.8
A0029.a1	A0029.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10527	0	0	28170
A0029.a2	A0029.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10527	0	0	32202
A0029.a3	A0029.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10527	0	0	24138
A0030.a1	A0030.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10315	0	0	57250.8
A0030.a2	A0030.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10315	0	0	52029.6
A0030.a3	A0030.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10315	0	0	26014.8
A0031.a1	A0031.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9322	0	0	82456.8
A0031.a2	A0031.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9322	0	0	82456.8
A0031.a3	A0031.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	9322	0	0	51510
A0032.a1	A0032.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10476	0	0	443142
A0032.a2	A0032.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10476	0	0	408920.4
A0032.a3	A0032.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10476	0	0	28299.6
A0033.a1	A0033.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9338	0	0	53241.6
A0033.a2	A0033.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9338	0	0	29030.4
A0033.a3	A0033.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	9338	0	0	24192
A0034.a1	A0034.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15971	0	0	106176
A0034.a2	A0034.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15971	0	0	99096
A0034.a3	A0034.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	15971	0	0	84912
A0035.a1	A0035.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16284	0	0	112130.4
A0035.a2	A0035.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16284	0	0	75832.8
A0035.a3	A0035.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	16284	0	0	49430.4
A0036.a1	A0036.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14442	0	0	14670
A0036.a2	A0036.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14442	0	0	19560
A0036.a3	A0036.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	14442	0	0	44010
A0037.a1	A0037.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13832	0	0	85800
A0037.a2	A0037.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13832	0	0	85800
A0037.a3	A0037.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	13832	0	0	98064
A0038.a1	A0038.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13631	0	0	100764
A0038.a2	A0038.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13631	0	0	74628
A0038.a3	A0038.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13631	0	0	59680.8
A0039.a1	A0039.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13018	0	0	108552
A0039.a2	A0039.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13018	0	0	99864
A0039.a3	A0039.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13018	0	0	52080
A0040.a1	A0040.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11665	0	0	81396
A0040.a2	A0040.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11665	0	0	81396
A0040.a3	A0040.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	11665	0	0	15246
A0041.a1	A0041.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11546	0	0	73416
A0041.a2	A0041.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11546	0	0	83208
A0041.a3	A0041.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	11546	0	0	34248
A0042.a1	A0042.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15469	0	0	84394.8
A0042.a2	A0042.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15469	0	0	84394.8
A0042.a3	A0042.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	15469	0	0	42184.8
A0043.a1	A0043.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13397	0	0	60100.8
A0043.a2	A0043.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13397	0	0	44072.4
A0043.a3	A0043.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13397	0	0	20018.4
A0044.a1	A0044.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13954	0	0	55059.6
A0044.a2	A0044.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13954	0	0	79172.4
A0044.a3	A0044.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13954	0	0	34414.8
A0045.a1	A0045.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18529	0	0	21336
A0045.a2	A0045.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18529	0	0	10668
A0045.a3	A0045.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	18529	0	0	5334
A0046.a1	A0046.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18937	0	0	67140
A0046.a2	A0046.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18937	0	0	22410
A0046.a3	A0046.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	18937	0	0	22410
A0047.a1	A0047.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17534	0	0	53163
A0047.a2	A0047.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17534	0	0	79761
A0047.a3	A0047.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	17534	0	0	8844
A0048.a1	A0048.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16737	0	0	35424
A0048.a2	A0048.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16737	0	0	50616
A0048.a3	A0048.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	16737	0	0	10116
A0049.a1	A0049.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16890	0	0	60192
A0049.a2	A0049.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16890	0	0	33456
A0049.a3	A0049.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	16890	0	0	26736
A0050.a1	A0050.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14694	0	0	33642
A0050.a2	A0050.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14694	0	0	33642
A0050.a3	A0050.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	14694	0	0	
A01-0001.a1	A01-0001.e1	AP0	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	19475	0	0.42294094	
A01-0001.a2	A01-0001.e1	AP0	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	19475	0	0.483373463	
A01-0001.a3	A01-0001.e1	AP0	A03	5	Bovine Respiratory Syncitial Virus (BRSV)	Pre-concentration Spike (Biol)	BRSV	RNA	HEX	19475	0	27.44132614	
A01-0002.a1	A01-0002.e1	AP0.1	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15989	0	1.693558336	
A01-0002.a2	A01-0002.e1	AP0.1	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15989	0	1.914637089	
A01-0002.a3	A01-0002.e1	AP0.1	A01	5	Human	Internal Control	RNase P	RNA	HEX	15989	0	1.472521067	
A01-0003.a1	A01-0003.e1	AP0.1	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	19784	0	1.18991673	
A01-0003.a2	A01-0003.e1	AP0.1	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	19784	0	1.547126651	
A01-0003.a3	A01-0003.e1	AP0.1	A02	5	Human	Internal Control	RNase P	RNA	HEX	19784	0	1.606672049	
A01-0004.a1	A01-0004.e1	AP0.1	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18261	0	3.161083222	
A01-0004.a2	A01-0004.e1	AP0.1	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18261	0	3.225683689	
A01-0004.a3	A01-0004.e1	AP0.1	A03	5	Human	Internal Control	RNase P	RNA	HEX	18261	0	1.031256795	
A01-0005.a1	A01-0005.e1	AP0.2	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14966	0	10.5018034	
A01-0005.a2	A01-0005.e1	AP0.2	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14966	0	11.93032933	
A01-0005.a3	A01-0005.e1	AP0.2	A05	5	Human	Internal Control	RNase P	RNA	HEX	14966	0	1.179734707	
A01-0006.a1	A01-0006.e1	AP7	A08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16286	0	2.024409056	
A01-0006.a2	A01-0006.e1	AP7	A08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16286	0	1.734994412	
A01-0006.a3	A01-0006.e1	AP7	A08	5	Human	Internal Control	RNase P	RNA	HEX	16286	0	0.361246228	
A01-0007.a1	A01-0007.e1	AP0.2	A07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18545	0	1.523514748	
A01-0007.a2	A01-0007.e1	AP0.2	A07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18545	0	0.698032677	
A01-0007.a3	A01-0007.e1	AP0.2	A07	5	Human	Internal Control	RNase P	RNA	HEX	18545	0	2.158895254	
A01-0008.a1	A01-0008.e1	AP0.2	A08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17162	0	2.058326483	
A01-0008.a2	A01-0008.e1	AP0.2	A08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17162	0	2.882666588	
A01-0008.a3	A01-0008.e1	AP0.2	A08	5	Human	Internal Control	RNase P	RNA	HEX	17162	0	2.6765275	
A01-0009.a1	A01-0009.e1	AP0.3	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17879	0	0.789886832	
A01-0009.a2	A01-0009.e1	AP0.3	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17879	0	1.382650256	
A01-0009.a3	A01-0009.e1	AP0.3	A05	5	Human	Internal Control	RNase P	RNA	HEX	17879	0	0.789886832	
A01-0010.a1	A01-0010.e1	AP0.3	A06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18269	0	2.256060124	
A01-0010.a2	A01-0010.e1	AP0.3	A06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18269	0	2.64324832	
A01-0010.a3	A01-0010.e1	AP0.3	A06	5	Human	Internal Control	RNase P	RNA	HEX	18269	0	2.127025843	
A01-0011.a1	A01-0011.e1	AP4	F03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17755	0	2.437635184	
A01-0011.a2	A01-0011.e1	AP4	F03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17755	0	1.092240215	
A01-0011.a3	A01-0011.e1	AP4	F03	5	Human	Internal Control	RNase P	RNA	HEX	17755	0	0.756081045	
A01-0012.a1	A01-0012.e1	AP4	G03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15896	0	3.743253947	
A01-0012.a2	A01-0012.e1	AP4	G03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15896	0	3.639160157	
A01-0012.a3	A01-0012.e1	AP4	G03	5	Human	Internal Control	RNase P	RNA	HEX	15896	0	1.558657885	
A01-0013.a1	A01-0013.e1	AP0.4	B01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12800	0	1.14870131	
A01-0013.a2	A01-0013.e1	AP0.4	B01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12800	0	1.060298205	
A01-0013.a3	A01-0013.e1	AP0.4	B01	5	Human	Internal Control	RNase P	RNA	HEX	12800	0	0.530024767	
A01-0014.a1	A01-0014.e1	AP5	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9330	0	5.794944285	
A01-0014.a2	A01-0014.e1	AP5	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9330	0	7.503373625	
A01-0014.a3	A01-0014.e1	AP5	A04	5	Human	Internal Control	RNase P	RNA	HEX	9330	0	1.191348553	
A01-0015.a1	A01-0015.e1	AP5	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10297	0	20.63127899	
A01-0015.a2	A01-0015.e1	AP5	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10297	0	8.47251892	
A01-0015.a3	A01-0015.e1	AP5	A03	5	Human	Internal Control	RNase P	RNA	HEX	10297	0	1.878935814	
A01-0016.a1	A01-0016.e1	AP0.4	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12456	0	5.249227525	
A01-0016.a2	A01-0016.e1	AP0.4	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12456	0	2.932936669	
A01-0016.a3	A01-0016.e1	AP0.4	C01	5	Human	Internal Control	RNase P	RNA	HEX	12456	0	0.35509336	
A01-0017.a1	A01-0017.e1	AP0.4	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13951	0	8.79502487	
A01-0017.a2	A01-0017.e1	AP0.4	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13951	0	9.498597145	
A01-0017.a3	A01-0017.e1	AP0.4	A03	5	Human	Internal Control	RNase P	RNA	HEX	13951	0	0.930597484	
A01-0018.a1	A01-0018.e1	AP0.4	B03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14011	0	4.311506748	
A01-0018.a2	A01-0018.e1	AP0.4	B03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14011	0	2.267023087	
A01-0018.a3	A01-0018.e1	AP0.4	B03	5	Human	Internal Control	RNase P	RNA	HEX	14011	0	3.250910998	
A01-0026.a1	A01-0026.e1	AP0.4	H03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11747	0	1.052191377	
A01-0026.a2	A01-0026.e1	AP0.4	H03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11747	0	1.683936596	
A01-0026.a3	A01-0026.e1	AP0.4	H03	5	Human	Internal Control	RNase P	RNA	HEX	11747	0	1.683936596	
A01-0027.a1	A01-0027.e1	AP7	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17102	0	3.582602263	
A01-0027.a2	A01-0027.e1	AP7	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17102	0	4.134741783	
A01-0027.a3	A01-0027.e1	AP7	A01	5	Human	Internal Control	RNase P	RNA	HEX	17102	0	2.272309304	
A01-0028.a1	A01-0028.e1	AP7	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15508	0	4.027581215	
A01-0028.a2	A01-0028.e1	AP7	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15508	0	3.570936203	
A01-0028.a3	A01-0028.e1	AP7	A02	5	Human	Internal Control	RNase P	RNA	HEX	15508	0	1.366312266	
A01-0029.a1	A01-0029.e1	AP8	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16888	0	5.16639757	
A01-0029.a2	A01-0029.e1	AP8	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16888	0	5.79629326	
A01-0029.a3	A01-0029.e1	AP8	A01	5	Human	Internal Control	RNase P	RNA	HEX	16888	0	1.742868066	
A01-0030.a1	A01-0030.e1	AP8	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16491	0	7.371079445	
A01-0030.a2	A01-0030.e1	AP8	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16491	0	9.023376465	
A01-0030.a3	A01-0030.e1	AP8	A02	5	Human	Internal Control	RNase P	RNA	HEX	16491	0	1.713410974	
A01-0031.a1	A01-0031.e1	AP7	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17045	0	3.248488665	
A01-0031.a2	A01-0031.e1	AP7	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17045	0	3.248488665	
A01-0031.a3	A01-0031.e1	AP7	A03	5	Human	Internal Control	RNase P	RNA	HEX	17045	0	1.243042588	
A01-0032.a1	A01-0032.e1	AP8	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11790	0	4.799479008	
A01-0032.a2	A01-0032.e1	AP8	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11790	0	5.70156479	
A01-0032.a3	A01-0032.e1	AP8	A03	5	Human	Internal Control	RNase P	RNA	HEX	11790	0	3.697867394	
A01-0033.a1	A01-0033.e1	AP8	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14498	0	5.612515925	
A01-0033.a2	A01-0033.e1	AP8	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14498	0	5.44945717	
A01-0033.a3	A01-0033.e1	AP8	C01	5	Human	Internal Control	RNase P	RNA	HEX	14498	0	1.299070478	
A01-0034.a1	A01-0034.e1	AP8	C02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13383	0	5.462949755	
A01-0034.a2	A01-0034.e1	AP8	C02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13383	0	3.786122561	
A01-0034.a3	A01-0034.e1	AP8	C02	5	Human	Internal Control	RNase P	RNA	HEX	13383	0	1.319357038	
A01-0035.a1	A01-0035.e1	AP8	C03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14278	0	6.361772535	
A01-0035.a2	A01-0035.e1	AP8	C03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14278	0	5.450838565	
A01-0035.a3	A01-0035.e1	AP8	C03	5	Human	Internal Control	RNase P	RNA	HEX	14278	0	3.383154631	
A01-0036.a1	A01-0036.e1	AP0.5	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14143	0	3.394970417	
A01-0036.a2	A01-0036.e1	AP0.5	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14143	0	1.809304357	
A01-0036.a3	A01-0036.e1	AP0.5	A04	5	Human	Internal Control	RNase P	RNA	HEX	14143	0	2.715110302	
A01-0037.a1	A01-0037.e1	AP11	C04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17645	0	11.55470467	
A01-0037.a2	A01-0037.e1	AP11	C04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17645	0	11.91714859	
A01-0037.a3	A01-0037.e1	AP11	C04	5	Human	Internal Control	RNase P	RNA	HEX	17645	0	0.449780285	
A01-0038.a1	A01-0038.e1	AP8	E07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12980	0	4.176715374	
A01-0038.a2	A01-0038.e1	AP8	E07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12980	0	3.449264288	
A01-0038.a3	A01-0038.e1	AP8	E07	5	Human	Internal Control	RNase P	RNA	HEX	12980	0	0.634631396	
A01-0039.a1	A01-0039.e1	AP8	E08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12570	0	9.30243969	
A01-0039.a2	A01-0039.e1	AP8	E08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12570	0	9.30243969	
A01-0039.a3	A01-0039.e1	AP8	E08	5	Human	Internal Control	RNase P	RNA	HEX	12570	0	3.092647553	
A01-0040.a1	A01-0040.e1	AP10	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11781	0	18.316679	
A01-0040.a2	A01-0040.e1	AP10	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11781	0	9.223335265	
A01-0040.a3	A01-0040.e1	AP10	A01	5	Human	Internal Control	RNase P	RNA	HEX	11781	0	0.199740335	
A01-0041.a1	A01-0041.e1	AP10	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13981	0	5.22876644	
A01-0041.a2	A01-0041.e1	AP10	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13981	0	2.780160189	
A01-0041.a3	A01-0041.e1	AP10	A02	5	Human	Internal Control	RNase P	RNA	HEX	13981	0	1.094430447	
A01-0042.a1	A01-0042.e1	AP10	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10961	0	6.24180889	
A01-0042.a2	A01-0042.e1	AP10	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10961	0	81.4287796	
A01-0042.a3	A01-0042.e1	AP10	A03	5	Human	Internal Control	RNase P	RNA	HEX	10961	0	1.718573213	
A01-0043.a1	A01-0043.e1	AP11	E04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11800	0	9.68914318	
A01-0043.a2	A01-0043.e1	AP11	E04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11800	0	1.932562948	
A01-0043.a3	A01-0043.e1	AP11	E04	5	Human	Internal Control	RNase P	RNA	HEX	11800	0	1.328355193	
A01-0044.a1	A01-0044.e1	AP10	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10597	0	3.001343966	
A01-0044.a2	A01-0044.e1	AP10	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10597	0	4.560616017	
A01-0044.a3	A01-0044.e1	AP10	A05	5	Human	Internal Control	RNase P	RNA	HEX	10597	0	1.221845627	
A01-0045.a1	A01-0045.e1	AP11	H01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15418	0	50.5592041	
A01-0045.a2	A01-0045.e1	AP11	H01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15418	0	51.88467025	
A01-0045.a3	A01-0045.e1	AP11	H01	5	Human	Internal Control	RNase P	RNA	HEX	15418	0	1.607004166	
A01-0046.a1	A01-0046.e1	AP0.5	B04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16779	0	4.034883023	
A01-0046.a2	A01-0046.e1	AP0.5	B04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16779	0	3.605102062	
A01-0046.a3	A01-0046.e1	AP0.5	B04	5	Human	Internal Control	RNase P	RNA	HEX	16779	0	1.372307062	
A01-0047.a1	A01-0047.e1	AP11	F04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17426	0	8.79430294	
A01-0047.a2	A01-0047.e1	AP11	F04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17426	0	3.789540768	
A01-0047.a3	A01-0047.e1	AP11	F04	5	Human	Internal Control	RNase P	RNA	HEX	17426	0	1.015830159	
A01-0048.a1	A01-0048.e1	AP11	E01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11184	0	13.70515919	
A01-0048.a2	A01-0048.e1	AP11	E01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11184	0	6.832240105	
A01-0048.a3	A01-0048.e1	AP11	E01	5	Human	Internal Control	RNase P	RNA	HEX	11184	0	0.619444371	
A01-0049.a1	A01-0049.e1	AP11	F01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11160	0	23.69491577	
A01-0049.a2	A01-0049.e1	AP11	F01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11160	0	18.74283791	
A01-0049.a3	A01-0049.e1	AP11	F01	5	Human	Internal Control	RNase P	RNA	HEX	11160	0	0.540761531	
A01-0050.a1	A01-0050.e1	AP11	G01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10558	0	2.429139614	
